code,name,date,open,high,low,close,volume,amount,turnover,raw_open,raw_close,raw_prev_date,raw_prev_close,scale
000550,江铃汽车,2026-06-04,68.54515706659865,70.44041486567511,67.59752816706043,68.03185807934878,4555100.0,79635858.0,0.008785773708589054,17.36,17.23,2026-06-03,17.46,3.948453748075959
000551,创元科技,2026-06-04,145.92078568978968,147.18039406559797,144.17671255405517,146.40525044971594,10353506.0,155619769.0,0.021367383729108808,15.06,15.11,2026-06-03,15.32,9.689295198525212
000552,甘肃能化,2026-06-04,23.34786229626886,23.915345060414285,23.266793329962372,23.51000022888184,118566100.0,345390307.0,0.03182289284556977,2.88,2.9,2026-06-03,2.9,8.10689663064891
000553,安道麦A,2026-06-04,26.57754469754403,26.57754469754403,25.64350958037795,25.77087800544605,8926500.0,54534195.0,0.004100231944514947,6.26,6.07,2026-06-03,6.27,4.245614168936746
000554,泰山石油,2026-06-04,42.61359465122222,42.7980690869418,40.83034177259965,41.199290644038804,17998160.0,121090706.0,0.04962912266839881,6.93,6.7,2026-06-03,7.04,6.149147857319225
000555,神州信息,2026-06-04,40.62689410626796,40.8179296584918,38.68469932532569,39.003091912365406,32758820.0,405918538.0,0.03361149016402646,12.76,12.25,2026-06-03,12.94,3.183925870397176
000557,西部创业,2026-06-04,32.290000915527344,32.52174733358137,31.440264049329258,31.594761661365272,6950766.0,28701081.0,0.004767603247385006,4.18,4.09,2026-06-03,4.18,7.7248806018008
000558,天府文旅,2026-06-04,26.856813111148035,27.228791132078065,26.48483509021801,26.708021902776025,23517977.0,84574333.0,0.018249598741230562,3.61,3.59,2026-06-03,3.64,7.439560418600564
000559,万向钱潮,2026-06-04,623.5154213418766,653.1657067123725,614.4914214465084,638.1257068867586,66067625.0,978890930.0,0.01993381753380366,14.51,14.85,2026-06-03,14.7,42.9714280731824
000560,我爱我家,2026-06-04,14.094029661434801,14.305969957095474,13.617163996198283,13.670149070113453,78875408.0,207305020.0,0.03372998083179686,2.66,2.58,2026-06-03,2.68,5.298507391516842
000561,烽火电子,2026-06-04,20.672957920792083,20.85272277227723,20.339108910891092,20.518873762376238,8453204.0,67728899.0,0.010889832849157774,8.05,7.99,2026-06-03,8.08,2.5680693069306932
000563,陕国投Ａ,2026-06-04,57.299999237060554,57.49292852742102,56.33535278525818,56.528282075618655,26097710.0,76799480.0,0.005103218863827447,2.97,2.93,2026-06-03,2.97,19.292929036047322
000564,供销大集,2026-06-04,20.253012048192772,20.623493975903614,19.6355421686747,19.759036144578317,275624285.0,445848033.0,0.01825945576733578,1.64,1.6,2026-06-03,1.66,12.349397590361447
000565,渝三峡Ａ,2026-06-04,52.70857607915713,53.097856552415315,51.151454186124425,51.54073465938261,9220412.0,61170865.0,0.021265169379653538,6.77,6.62,2026-06-03,6.81,7.785609465163535
000566,海南海药,2026-06-04,40.53034268173516,40.72999954223633,39.232573088477636,39.63188680947996,22669168.0,90353529.0,0.017481719035941694,4.06,3.97,2026-06-03,4.08,9.982843025057923
000567,海德股份,2026-06-04,96.45654786260503,97.41950840699045,93.72815965351305,94.53062677383421,24613669.0,145756823.0,0.01263185313594767,6.01,5.89,2026-06-03,6.08,16.049342406423467
000568,泸州老窖,2026-06-04,3327.4094602191603,3362.8155334228654,3296.9526230546826,3296.9526230546826,7355230.0,642332463.0,0.004999951949619039,87.4,86.6,2026-06-03,87.55,38.0710464555968
000570,苏常柴Ａ,2026-06-04,32.98285593305316,33.45828448704311,32.21028453281948,32.685713086809436,11722600.0,64387450.0,0.021095479698451287,5.55,5.5,2026-06-03,5.6,5.942856924874443
000571,新大洲A,2026-06-04,68.13464989719621,69.07606129473952,66.60485637618835,67.54626777373166,25579256.0,147711103.0,0.03142445046920907,5.79,5.74,2026-06-03,5.81,11.767642469291228
000572,海马汽车,2026-06-04,20.660401926744708,20.893064110604445,20.474272179656918,20.613869489972757,27846300.0,123417130.0,0.016956156489857238,4.44,4.43,2026-06-03,4.47,4.653243677194753
000573,粤宏远Ａ,2026-06-04,36.566445038781914,37.43090000423775,36.30710854914516,36.652890535327494,20687300.0,88175214.0,0.03268317508180498,4.23,4.24,2026-06-03,4.22,8.644549654558372
000576,甘化科工,2026-06-04,47.216874615372575,47.34312294322117,45.95439133688668,46.45938464828104,4619789.0,34066048.0,0.010649208119951317,7.48,7.36,2026-06-03,7.49,6.312416392429489
